Agriculture,AlpineGlacier,Natural,SoilProduction
3.1125,,,0.007
2.0335,,,0.02
5.0132,,,0.0085
0.4648,,,0.0137
0.6806,,,0.0139
0.7055,,,0.0147
0.4316,,,0.0126
1.577,,,0.0115
0.2407,,,0.0107
1.2616,,,0.0157
0.54,,,0.0147
0.82,,,0.0167
1.411,,,0.0138
1.079,,,0.0004
0.38263,,,0.0003
0.64408,,,0.0003
0.70218,,,0.0002
1.46329,,,0.0002
0.5478,,,0.0002
0.73455,,,0.0003
0.8134,,,0.0002
1.62016,,,0.0001
0.6,,,0.0002
1.03,,,0.0002
0.581,,,0.0002
0.996,,,0.0001
0.581,,,0.0026
0.332,,,0.001
0.166,,,0.0008
1.1039,,,0.0012
1.6019,,,0.0011
1.4027,,,0.0008
1.2118,,,0.001
0.9711,,,0.0014
4.1,,,0.0005
18.5,,,0.0008
4.54,,,0.0009
5.8977,,,0.0055
4.355,,,0.0052
2.542,,,0.055
0.5835,,,0.042
0.56268,,,0.15
4.376,,,0.1
4.4597,,,0.088
5,,,0.053
5,,,0.058
3.9804,,,0.0091
4.2514,,,0.037
2.1048,,,0.0089
1.3129,,,0.014
1.563,,,0.032
1.167,,,
1.719,,,
1.909,,,
0.332,,,
1.494,,,
0.83,,,
4.482,,,
3.32,,,
4.98,,,
1.577,,,
0.7221,,,
6.723,,,
8.798,,,
49.883,,,
1.577,,,
0.2407,,,
5.644,,,
1.4027,,,
1.162,,,
4.565,,,
1.494,,,
0.664,,,
1.494,,,
0.7304,,,
0.581,,,
0.913,,,
2.49,,,
0.29797,,,
0.11122,,,
0.18592,,,
0.32785,,,
0.45899,,,
1.7596,,,
1.33796,,,
0.37101,,,
0.4233,,,
0.8383,,,
1.1288,,,
0.83,,,
0.8134,,,
0.7802,,,
0.5395,,,
0.5063,,,
0.498,,,
0.4233,,,
0.2739,,,
0.1577,,,
1.0707,,,
0.7304,,,
0.6723,,,
0.6142,,,
0.581,,,
0.5229,,,
0.4897,,,
0.3901,,,
0.3403,,,
0.2988,,,
0.3403,,,
0.9794,,,
0.4731,,,
0.8881,,,
0.2656,,,
12.28,,,
9.877,,,
3.818,,,
5.976,,,
8.192,,,
8.117,,,
8.64,,,
1.3197,,,
37.3,,,
44.8,,,
24.174,,,
15.63,,,
41.0548,,,
6.8772,,,
17.0888,,,
34.386,,,
25.6332,,,
35.6364,,,
4.15,,,
10.54,,,
0.03652,,,
0.11786,,,
0.17181,,,
0.46231,,,
0.36,,,
0.67,,,
0.23,,,
0.05,,,
0.5,,,
0.08,,,
1.17,,,
3.984,,,
12.533,,,
3.0295,,,
3.9342,,,
6.0756,,,
8.8487,,,
5.9594,,,
8.6652,,,
7.0135,,,
8.051,,,
5.3203,,,
6.9803,,,
6.6981,,,
8.0842,,,
5.21,,,
52.9336,,,
1.2504,,,
21.465,,,
4.5848,,,
23.3408,,,
1.6672,,,
2.7092,,,
0.4168,,,
4.3764,,,
1.8756,,,
3.126,,,
1.6672,,,
2.2924,,,
3.7512,,,
3.3344,,,
6.4604,,,
1.4588,,,
5.21,,,
0.8336,,,
8.7528,,,
4.5848,,,
0.31623,,,
0.13197,,,
7.719,,,
3.652,,,
0.498,,,
1.68,,,
3.667,,,
2.739,,,
3.32,,,
2.1165,,,
3.32,,,
0.203931,,,
0.747332,,,
1.4525,,,
0.14442,,,
3.5,,,
1.079,,,
0.200838,,,
13.408988,,,
0.747404,,,
3.439491,,,
3.439491,,,
3.432513,,,
2.781015,,,
2.781015,,,
2.259538,,,
5.299783,,,
5.299783,,,
4.951821,,,
4.351727,,,
4.351727,,,
2.593079,,,
0.174043,,,
14.167990,,,
1.111182,,,
3.302260,,,
3.432513,,,
3.302260,,,
2.872890,,,
2.259538,,,
2.872890,,,
4.845758,,,
4.951821,,,
4.845758,,,
3.008493,,,
2.593079,,,
5.230000,,,
3.486000,,,
1.826,,,
38.180000,,,
2.158000,,,
3.00,,,
3.00,,,
2.60,,,
2.10,,,
1.80,,,
1.80,,,
1.80,,,
1.50,,,
1.50,,,
1.10,,,
1.25,,,
0.79,,,
0.55,,,
0.498,,,
2.3987,,,
1.2284,,,
1.2616,,,
0.5644,,,
2.1995,,,
2.739,,,
1.4857,,,
2.2493,,,
1.1869,,,
2.8469,,,
4.399,,,
5.1128,,,
2.1995,,,
0.9628,,,
0.86666,,,
1.25263,,,
0.34035,,,
0.382456,,,
0.5614,,,
0.45263,,,
0.91578,,,
0.34737,,,
1.22456,,,
0.97544,,,
0.58596,,,
0.543859,,,
0.50877,,,
0.73684,,,
0.43589,,,
0.59649,,,
0.08772,,,
0.5789,,,
0.59649,,,
0.15789,,,
0.03509,,,
0.6225,,,
0.249,,,
0.5478,,,
0.4191,,,
0.66317,,,
0.4955,,,
0.37599,,,
0.17762,,,
0.0996,,,
0.2988,,,
0.0166,,,
0.27888,,,
0.33532,,,
0.45816,,,
0.37018,,,
0.38263,,,
0.70384,,,
0.26062,,,
0.27058,,,
0.28635,,,
0.30046,,,
0.45152,,,
0.33449,,,
0.44156,,,
0.6366,,,
0.40006,,,
0.54282,,,
0.30544,,,
1.67,,,
1.08,,,
